,experiment,hour,platform_os,browser,day_of_week,brand,response
0,exposed,2,6,Chrome Mobile WebView,Sunday,generic,0
1,exposed,16,6,Chrome Mobile,Saturday,generic,1
2,exposed,8,6,Chrome Mobile,Monday,generic,0
3,control,4,6,Facebook,Wednesday,known brand,1
4,control,15,6,Chrome Mobile,Friday,generic,0
5,exposed,2,6,Chrome Mobile,Friday,generic,0
6,control,15,6,Chrome Mobile,Friday,generic,1
7,exposed,6,6,Chrome Mobile WebView,Sunday,generic,0
8,control,15,6,Chrome Mobile,Friday,generic,0
9,exposed,14,6,Chrome Mobile,Friday,generic,0
10,control,15,6,Facebook,Friday,generic,0
11,exposed,13,6,Facebook,Thursday,known brand,1
12,exposed,20,6,Chrome Mobile WebView,Thursday,known brand,0
13,exposed,6,6,Chrome Mobile,Sunday,generic,1
14,exposed,20,6,Chrome Mobile,Wednesday,generic,0
15,control,2,6,Chrome Mobile WebView,Monday,known brand,0
16,control,16,6,Chrome Mobile,Saturday,generic,1
17,control,15,6,Samsung Internet,Friday,known brand,0
18,exposed,8,6,Chrome Mobile,Thursday,generic,0
19,control,20,6,Facebook,Thursday,known brand,1
20,exposed,11,6,Chrome Mobile WebView,Saturday,known brand,1
21,exposed,19,6,Chrome Mobile,Sunday,generic,0
22,exposed,5,6,Chrome Mobile,Friday,generic,0
23,exposed,2,6,Chrome Mobile WebView,Sunday,generic,1
24,control,15,6,Chrome Mobile,Tuesday,generic,1
25,control,15,6,Facebook,Friday,known brand,0
26,control,15,6,Facebook,Friday,generic,1
27,exposed,1,6,Chrome Mobile,Thursday,generic,1
28,control,18,6,Chrome Mobile,Wednesday,generic,1
29,exposed,0,6,Chrome Mobile WebView,Sunday,generic,0
30,exposed,20,6,Samsung Internet,Thursday,known brand,0
31,control,19,6,Chrome Mobile,Saturday,generic,1
32,control,22,6,Chrome Mobile,Wednesday,generic,0
33,exposed,20,6,Chrome Mobile WebView,Wednesday,generic,1
34,exposed,6,6,Chrome Mobile,Wednesday,generic,1
35,control,15,6,Chrome Mobile,Friday,generic,1
36,control,19,6,Chrome Mobile,Sunday,generic,0
37,exposed,6,6,Facebook,Sunday,known brand,0
38,exposed,3,6,Samsung Internet,Tuesday,known brand,0
39,exposed,15,6,Chrome Mobile,Friday,generic,1
40,exposed,20,6,Chrome Mobile,Wednesday,generic,1
41,exposed,20,6,Chrome Mobile,Wednesday,generic,1
42,exposed,19,6,Facebook,Thursday,generic,0
43,control,15,6,Chrome Mobile,Friday,generic,0
44,exposed,21,6,Chrome Mobile,Wednesday,generic,1
45,exposed,21,6,Chrome Mobile,Sunday,generic,1
46,control,10,6,Facebook,Sunday,known brand,1
47,exposed,5,6,Chrome Mobile WebView,Saturday,known brand,0
48,control,15,6,Chrome Mobile,Friday,generic,0
49,control,14,6,Chrome Mobile,Wednesday,generic,1
50,exposed,22,6,Chrome Mobile,Wednesday,generic,0
51,control,8,6,Facebook,Monday,known brand,0
52,control,15,6,Chrome Mobile WebView,Friday,known brand,1
53,exposed,21,6,Chrome Mobile WebView,Wednesday,known brand,1
54,control,15,6,Chrome Mobile,Friday,known brand,1
55,exposed,21,6,Chrome Mobile WebView,Wednesday,generic,0
56,exposed,0,6,Chrome Mobile WebView,Saturday,known brand,1
57,exposed,3,6,Chrome Mobile,Sunday,generic,1
58,exposed,16,6,Chrome Mobile,Friday,generic,0
59,exposed,2,6,Facebook,Friday,known brand,0
60,control,15,6,Chrome Mobile WebView,Friday,known brand,1
61,control,15,6,Facebook,Friday,generic,0
62,exposed,16,6,Chrome Mobile,Wednesday,generic,1
63,control,2,6,Chrome Mobile,Thursday,generic,0
64,control,15,6,Chrome Mobile,Friday,generic,1
65,exposed,0,6,Samsung Internet,Thursday,known brand,0
66,exposed,14,6,Chrome Mobile,Thursday,generic,0
67,control,15,6,Facebook,Friday,generic,0
68,exposed,8,6,Chrome Mobile,Thursday,generic,0
69,control,15,6,Samsung Internet,Friday,known brand,0
70,exposed,6,6,Samsung Internet,Thursday,known brand,1
71,control,15,6,Chrome Mobile,Friday,generic,0
72,control,15,6,Samsung Internet,Friday,known brand,1
73,control,15,6,Chrome Mobile,Friday,generic,0
74,control,0,6,Chrome Mobile,Sunday,generic,1
75,control,12,6,Chrome Mobile,Thursday,generic,1
76,control,15,6,Chrome Mobile,Sunday,generic,0
77,exposed,14,6,Chrome Mobile WebView,Thursday,generic,1
78,control,12,6,Chrome Mobile,Friday,generic,0
79,control,21,6,Facebook,Saturday,known brand,0
80,control,22,6,Facebook,Wednesday,known brand,1
81,exposed,10,6,Chrome Mobile,Friday,generic,0
82,control,3,6,Chrome Mobile,Tuesday,generic,1
83,control,13,6,Samsung Internet,Friday,known brand,1
84,exposed,8,6,Chrome Mobile WebView,Friday,known brand,1
85,control,2,6,Samsung Internet,Friday,known brand,0
86,control,9,6,Chrome Mobile,Friday,generic,0
87,control,15,6,Facebook,Friday,known brand,1
88,exposed,17,6,Chrome Mobile,Wednesday,generic,0
89,exposed,9,6,Chrome Mobile WebView,Friday,generic,1
90,control,15,6,Chrome Mobile,Friday,generic,0
91,exposed,15,6,Chrome Mobile WebView,Wednesday,generic,1
92,control,15,6,Chrome Mobile,Thursday,generic,0
93,exposed,0,6,Chrome Mobile,Friday,generic,0
94,exposed,17,6,Chrome Mobile,Friday,generic,1
95,control,15,6,Chrome Mobile,Friday,generic,1
96,control,15,6,Chrome Mobile,Friday,generic,0
97,control,10,6,Chrome Mobile,Sunday,generic,0
98,exposed,16,6,Chrome Mobile,Thursday,generic,0
99,exposed,12,6,Chrome Mobile,Friday,generic,0
100,exposed,19,6,Chrome Mobile,Thursday,generic,1
101,control,15,6,Chrome Mobile WebView,Friday,known brand,1
102,exposed,9,6,Chrome Mobile,Saturday,generic,1
103,control,15,6,Samsung Internet,Friday,known brand,0
104,exposed,11,6,Chrome Mobile WebView,Sunday,generic,0
105,control,5,6,Chrome Mobile,Friday,generic,1
106,control,15,6,Facebook,Friday,known brand,1
107,control,15,6,Chrome Mobile,Friday,generic,0
108,control,15,6,Facebook,Friday,generic,0
109,exposed,10,6,Chrome Mobile,Saturday,generic,0
110,control,15,6,Samsung Internet,Friday,known brand,1
111,exposed,6,6,Chrome Mobile WebView,Thursday,generic,0
112,exposed,5,6,Chrome Mobile WebView,Friday,known brand,0
113,exposed,19,6,Chrome Mobile,Thursday,known brand,0
114,exposed,16,6,Chrome Mobile WebView,Saturday,known brand,1
115,control,15,6,Chrome Mobile,Friday,generic,1
116,exposed,1,6,Chrome Mobile,Friday,generic,0
117,control,19,6,Mobile Safari,Friday,known brand,0
118,control,8,6,Chrome Mobile WebView,Tuesday,generic,0
119,exposed,15,6,Chrome Mobile WebView,Friday,known brand,1
120,exposed,12,6,Facebook,Friday,generic,0
121,control,15,6,Chrome Mobile WebView,Friday,known brand,0
122,exposed,19,6,Chrome Mobile,Sunday,generic,0
123,control,14,6,Chrome Mobile,Thursday,generic,0
124,control,15,6,Chrome Mobile,Friday,generic,1
125,exposed,9,6,Chrome Mobile,Saturday,generic,0
126,exposed,0,6,Chrome Mobile WebView,Monday,generic,1
127,exposed,7,6,Facebook,Monday,known brand,0
128,exposed,17,6,Chrome Mobile,Wednesday,generic,1
129,control,8,6,Chrome Mobile WebView,Monday,known brand,0
130,control,10,6,Chrome Mobile,Thursday,generic,0
