,experiment,hour,platform_os,browser,day_of_week,brand,response
0,exposed,2,6,Chrome Mobile WebView,Sunday,generic,0
1,exposed,16,6,Chrome Mobile,Saturday,generic,1
2,exposed,8,6,Chrome Mobile,Monday,generic,0
4,control,15,6,Chrome Mobile,Friday,generic,0
5,exposed,2,6,Chrome Mobile,Friday,generic,0
6,control,15,6,Chrome Mobile,Friday,generic,1
7,exposed,6,6,Chrome Mobile WebView,Sunday,generic,0
8,control,15,6,Chrome Mobile,Friday,generic,0
9,exposed,14,6,Chrome Mobile,Friday,generic,0
10,control,15,6,Facebook,Friday,generic,0
13,exposed,6,6,Chrome Mobile,Sunday,generic,1
14,exposed,20,6,Chrome Mobile,Wednesday,generic,0
16,control,16,6,Chrome Mobile,Saturday,generic,1
18,exposed,8,6,Chrome Mobile,Thursday,generic,0
21,exposed,19,6,Chrome Mobile,Sunday,generic,0
22,exposed,5,6,Chrome Mobile,Friday,generic,0
23,exposed,2,6,Chrome Mobile WebView,Sunday,generic,1
24,control,15,6,Chrome Mobile,Tuesday,generic,1
26,control,15,6,Facebook,Friday,generic,1
27,exposed,1,6,Chrome Mobile,Thursday,generic,1
28,control,18,6,Chrome Mobile,Wednesday,generic,1
29,exposed,0,6,Chrome Mobile WebView,Sunday,generic,0
31,control,19,6,Chrome Mobile,Saturday,generic,1
32,control,22,6,Chrome Mobile,Wednesday,generic,0
33,exposed,20,6,Chrome Mobile WebView,Wednesday,generic,1
34,exposed,6,6,Chrome Mobile,Wednesday,generic,1
35,control,15,6,Chrome Mobile,Friday,generic,1
36,control,19,6,Chrome Mobile,Sunday,generic,0
39,exposed,15,6,Chrome Mobile,Friday,generic,1
40,exposed,20,6,Chrome Mobile,Wednesday,generic,1
41,exposed,20,6,Chrome Mobile,Wednesday,generic,1
42,exposed,19,6,Facebook,Thursday,generic,0
43,control,15,6,Chrome Mobile,Friday,generic,0
44,exposed,21,6,Chrome Mobile,Wednesday,generic,1
45,exposed,21,6,Chrome Mobile,Sunday,generic,1
48,control,15,6,Chrome Mobile,Friday,generic,0
49,control,14,6,Chrome Mobile,Wednesday,generic,1
50,exposed,22,6,Chrome Mobile,Wednesday,generic,0
55,exposed,21,6,Chrome Mobile WebView,Wednesday,generic,0
57,exposed,3,6,Chrome Mobile,Sunday,generic,1
58,exposed,16,6,Chrome Mobile,Friday,generic,0
61,control,15,6,Facebook,Friday,generic,0
62,exposed,16,6,Chrome Mobile,Wednesday,generic,1
63,control,2,6,Chrome Mobile,Thursday,generic,0
64,control,15,6,Chrome Mobile,Friday,generic,1
66,exposed,14,6,Chrome Mobile,Thursday,generic,0
67,control,15,6,Facebook,Friday,generic,0
68,exposed,8,6,Chrome Mobile,Thursday,generic,0
71,control,15,6,Chrome Mobile,Friday,generic,0
73,control,15,6,Chrome Mobile,Friday,generic,0
74,control,0,6,Chrome Mobile,Sunday,generic,1
75,control,12,6,Chrome Mobile,Thursday,generic,1
76,control,15,6,Chrome Mobile,Sunday,generic,0
77,exposed,14,6,Chrome Mobile WebView,Thursday,generic,1
78,control,12,6,Chrome Mobile,Friday,generic,0
81,exposed,10,6,Chrome Mobile,Friday,generic,0
82,control,3,6,Chrome Mobile,Tuesday,generic,1
86,control,9,6,Chrome Mobile,Friday,generic,0
88,exposed,17,6,Chrome Mobile,Wednesday,generic,0
89,exposed,9,6,Chrome Mobile WebView,Friday,generic,1
90,control,15,6,Chrome Mobile,Friday,generic,0
91,exposed,15,6,Chrome Mobile WebView,Wednesday,generic,1
92,control,15,6,Chrome Mobile,Thursday,generic,0
93,exposed,0,6,Chrome Mobile,Friday,generic,0
94,exposed,17,6,Chrome Mobile,Friday,generic,1
95,control,15,6,Chrome Mobile,Friday,generic,1
96,control,15,6,Chrome Mobile,Friday,generic,0
97,control,10,6,Chrome Mobile,Sunday,generic,0
98,exposed,16,6,Chrome Mobile,Thursday,generic,0
99,exposed,12,6,Chrome Mobile,Friday,generic,0
100,exposed,19,6,Chrome Mobile,Thursday,generic,1
102,exposed,9,6,Chrome Mobile,Saturday,generic,1
104,exposed,11,6,Chrome Mobile WebView,Sunday,generic,0
105,control,5,6,Chrome Mobile,Friday,generic,1
107,control,15,6,Chrome Mobile,Friday,generic,0
108,control,15,6,Facebook,Friday,generic,0
109,exposed,10,6,Chrome Mobile,Saturday,generic,0
111,exposed,6,6,Chrome Mobile WebView,Thursday,generic,0
115,control,15,6,Chrome Mobile,Friday,generic,1
116,exposed,1,6,Chrome Mobile,Friday,generic,0
118,control,8,6,Chrome Mobile WebView,Tuesday,generic,0
120,exposed,12,6,Facebook,Friday,generic,0
122,exposed,19,6,Chrome Mobile,Sunday,generic,0
123,control,14,6,Chrome Mobile,Thursday,generic,0
124,control,15,6,Chrome Mobile,Friday,generic,1
125,exposed,9,6,Chrome Mobile,Saturday,generic,0
126,exposed,0,6,Chrome Mobile WebView,Monday,generic,1
128,exposed,17,6,Chrome Mobile,Wednesday,generic,1
130,control,10,6,Chrome Mobile,Thursday,generic,0
131,exposed,3,6,Chrome Mobile,Monday,generic,0
133,exposed,20,6,Chrome Mobile,Wednesday,generic,0
134,control,16,6,Facebook,Tuesday,generic,0
135,exposed,5,6,Facebook,Wednesday,generic,0
138,exposed,23,6,Chrome Mobile,Tuesday,generic,1
139,control,20,6,Chrome Mobile,Wednesday,generic,0
141,exposed,8,6,Chrome Mobile,Sunday,generic,0
143,control,16,6,Chrome Mobile,Wednesday,generic,1
144,control,15,6,Chrome Mobile,Friday,generic,1
146,exposed,16,6,Chrome Mobile,Saturday,generic,1
150,exposed,13,6,Chrome Mobile,Thursday,generic,0
152,control,4,6,Chrome Mobile,Sunday,generic,1
153,exposed,8,6,Chrome Mobile,Thursday,generic,1
156,exposed,16,6,Chrome Mobile,Wednesday,generic,0
157,control,15,6,Chrome Mobile,Friday,generic,0
158,exposed,0,6,Chrome Mobile,Friday,generic,1
160,control,15,6,Chrome Mobile,Friday,generic,0
167,exposed,16,6,Chrome Mobile,Saturday,generic,1
168,control,15,6,Facebook,Friday,generic,0
169,control,15,6,Chrome Mobile,Friday,generic,1
170,control,15,6,Facebook,Friday,generic,1
172,exposed,7,6,Chrome Mobile WebView,Friday,generic,0
173,control,16,6,Chrome Mobile,Friday,generic,1
174,exposed,9,6,Chrome Mobile WebView,Thursday,generic,0
176,control,15,6,Chrome Mobile,Friday,generic,0
177,exposed,5,6,Chrome Mobile,Thursday,generic,1
178,exposed,7,6,Chrome Mobile,Sunday,generic,0
179,exposed,2,6,Chrome Mobile,Saturday,generic,0
180,exposed,6,6,Chrome Mobile,Saturday,generic,1
182,exposed,22,6,Chrome Mobile,Thursday,generic,1
185,control,15,6,Chrome Mobile,Friday,generic,1
186,control,15,6,Chrome Mobile,Friday,generic,1
187,exposed,4,6,Chrome Mobile WebView,Sunday,generic,0
189,control,20,6,Chrome Mobile,Tuesday,generic,1
193,control,15,6,Chrome Mobile,Friday,generic,0
194,exposed,9,6,Chrome Mobile,Friday,generic,0
195,control,6,6,Chrome Mobile,Thursday,generic,1
196,control,22,6,Chrome Mobile,Thursday,generic,1
200,exposed,20,6,Chrome Mobile,Wednesday,generic,1
201,control,5,6,Chrome Mobile,Sunday,generic,0
202,control,18,6,Chrome Mobile,Thursday,generic,0
204,exposed,16,6,Chrome Mobile WebView,Sunday,generic,0
