,experiment,hour,platform_os,browser,day_of_week,brand,response
3,control,4,6,Facebook,Wednesday,known brand,1
11,exposed,13,6,Facebook,Thursday,known brand,1
12,exposed,20,6,Chrome Mobile WebView,Thursday,known brand,0
15,control,2,6,Chrome Mobile WebView,Monday,known brand,0
17,control,15,6,Samsung Internet,Friday,known brand,0
19,control,20,6,Facebook,Thursday,known brand,1
20,exposed,11,6,Chrome Mobile WebView,Saturday,known brand,1
25,control,15,6,Facebook,Friday,known brand,0
30,exposed,20,6,Samsung Internet,Thursday,known brand,0
37,exposed,6,6,Facebook,Sunday,known brand,0
38,exposed,3,6,Samsung Internet,Tuesday,known brand,0
46,control,10,6,Facebook,Sunday,known brand,1
47,exposed,5,6,Chrome Mobile WebView,Saturday,known brand,0
51,control,8,6,Facebook,Monday,known brand,0
52,control,15,6,Chrome Mobile WebView,Friday,known brand,1
53,exposed,21,6,Chrome Mobile WebView,Wednesday,known brand,1
54,control,15,6,Chrome Mobile,Friday,known brand,1
56,exposed,0,6,Chrome Mobile WebView,Saturday,known brand,1
59,exposed,2,6,Facebook,Friday,known brand,0
60,control,15,6,Chrome Mobile WebView,Friday,known brand,1
65,exposed,0,6,Samsung Internet,Thursday,known brand,0
69,control,15,6,Samsung Internet,Friday,known brand,0
70,exposed,6,6,Samsung Internet,Thursday,known brand,1
72,control,15,6,Samsung Internet,Friday,known brand,1
79,control,21,6,Facebook,Saturday,known brand,0
80,control,22,6,Facebook,Wednesday,known brand,1
83,control,13,6,Samsung Internet,Friday,known brand,1
84,exposed,8,6,Chrome Mobile WebView,Friday,known brand,1
85,control,2,6,Samsung Internet,Friday,known brand,0
87,control,15,6,Facebook,Friday,known brand,1
101,control,15,6,Chrome Mobile WebView,Friday,known brand,1
103,control,15,6,Samsung Internet,Friday,known brand,0
106,control,15,6,Facebook,Friday,known brand,1
110,control,15,6,Samsung Internet,Friday,known brand,1
112,exposed,5,6,Chrome Mobile WebView,Friday,known brand,0
113,exposed,19,6,Chrome Mobile,Thursday,known brand,0
114,exposed,16,6,Chrome Mobile WebView,Saturday,known brand,1
117,control,19,6,Mobile Safari,Friday,known brand,0
119,exposed,15,6,Chrome Mobile WebView,Friday,known brand,1
121,control,15,6,Chrome Mobile WebView,Friday,known brand,0
127,exposed,7,6,Facebook,Monday,known brand,0
129,control,8,6,Chrome Mobile WebView,Monday,known brand,0
132,control,3,6,Chrome Mobile,Monday,known brand,1
136,control,15,6,Chrome,Friday,known brand,0
137,control,15,6,Samsung Internet,Friday,known brand,0
140,exposed,17,6,Chrome Mobile WebView,Wednesday,known brand,0
142,exposed,7,6,Samsung Internet,Wednesday,known brand,0
145,exposed,22,6,Chrome Mobile WebView,Sunday,known brand,0
147,exposed,2,6,Chrome Mobile WebView,Thursday,known brand,1
148,control,15,6,Facebook,Friday,known brand,1
149,exposed,16,6,Chrome Mobile WebView,Saturday,known brand,0
151,exposed,20,6,Chrome Mobile WebView,Tuesday,known brand,1
154,exposed,14,6,Chrome Mobile WebView,Saturday,known brand,1
155,exposed,8,6,Chrome Mobile WebView,Saturday,known brand,1
159,exposed,8,5,Mobile Safari,Friday,known brand,0
161,control,4,6,Facebook,Sunday,known brand,0
162,control,15,6,Samsung Internet,Saturday,known brand,0
163,exposed,1,6,Chrome Mobile WebView,Monday,known brand,1
164,control,3,6,Samsung Internet,Saturday,known brand,1
165,exposed,6,6,Chrome Mobile WebView,Friday,known brand,1
166,control,15,6,Samsung Internet,Friday,known brand,1
171,exposed,13,6,Samsung Internet,Sunday,known brand,1
