,experiment,hour,platform_os,browser,day_of_week,brand,response
0,exposed,16,6,Chrome Mobile,Saturday,generic,1
1,exposed,8,6,Chrome Mobile,Monday,generic,0
2,control,15,6,Chrome Mobile,Friday,generic,0
3,exposed,2,6,Chrome Mobile,Friday,generic,0
4,control,15,6,Chrome Mobile,Friday,generic,1
5,control,15,6,Chrome Mobile,Friday,generic,0
6,exposed,14,6,Chrome Mobile,Friday,generic,0
7,exposed,6,6,Chrome Mobile,Sunday,generic,1
8,exposed,20,6,Chrome Mobile,Wednesday,generic,0
9,control,16,6,Chrome Mobile,Saturday,generic,1
10,exposed,8,6,Chrome Mobile,Thursday,generic,0
11,exposed,19,6,Chrome Mobile,Sunday,generic,0
12,exposed,5,6,Chrome Mobile,Friday,generic,0
13,control,15,6,Chrome Mobile,Tuesday,generic,1
14,exposed,1,6,Chrome Mobile,Thursday,generic,1
15,control,18,6,Chrome Mobile,Wednesday,generic,1
16,control,19,6,Chrome Mobile,Saturday,generic,1
17,control,22,6,Chrome Mobile,Wednesday,generic,0
18,exposed,6,6,Chrome Mobile,Wednesday,generic,1
19,control,15,6,Chrome Mobile,Friday,generic,1
20,control,19,6,Chrome Mobile,Sunday,generic,0
21,exposed,15,6,Chrome Mobile,Friday,generic,1
22,exposed,20,6,Chrome Mobile,Wednesday,generic,1
23,exposed,20,6,Chrome Mobile,Wednesday,generic,1
24,control,15,6,Chrome Mobile,Friday,generic,0
25,exposed,21,6,Chrome Mobile,Wednesday,generic,1
26,exposed,21,6,Chrome Mobile,Sunday,generic,1
27,control,15,6,Chrome Mobile,Friday,generic,0
28,control,14,6,Chrome Mobile,Wednesday,generic,1
29,exposed,22,6,Chrome Mobile,Wednesday,generic,0
30,control,15,6,Chrome Mobile,Friday,known brand,1
31,exposed,3,6,Chrome Mobile,Sunday,generic,1
32,exposed,16,6,Chrome Mobile,Friday,generic,0
33,exposed,16,6,Chrome Mobile,Wednesday,generic,1
34,control,2,6,Chrome Mobile,Thursday,generic,0
