,experiment,hour,platform_os,browser,day_of_week,brand,response
0,control,15,6,Samsung Internet,Friday,known brand,0
1,exposed,20,6,Samsung Internet,Thursday,known brand,0
2,exposed,3,6,Samsung Internet,Tuesday,known brand,0
3,exposed,0,6,Samsung Internet,Thursday,known brand,0
4,control,15,6,Samsung Internet,Friday,known brand,0
5,exposed,6,6,Samsung Internet,Thursday,known brand,1
6,control,15,6,Samsung Internet,Friday,known brand,1
7,control,13,6,Samsung Internet,Friday,known brand,1
8,control,2,6,Samsung Internet,Friday,known brand,0
9,control,15,6,Samsung Internet,Friday,known brand,0
10,control,15,6,Samsung Internet,Friday,known brand,1
11,control,15,6,Samsung Internet,Friday,known brand,0
12,exposed,7,6,Samsung Internet,Wednesday,known brand,0
13,control,15,6,Samsung Internet,Saturday,known brand,0
14,control,3,6,Samsung Internet,Saturday,known brand,1
15,control,15,6,Samsung Internet,Friday,known brand,1
16,exposed,13,6,Samsung Internet,Sunday,known brand,1
17,control,15,6,Samsung Internet,Thursday,known brand,0
18,control,15,6,Samsung Internet,Friday,known brand,0
19,exposed,11,6,Samsung Internet,Friday,known brand,1
20,control,15,6,Samsung Internet,Friday,known brand,0
21,control,15,6,Samsung Internet,Friday,known brand,1
22,exposed,19,6,Samsung Internet,Wednesday,known brand,1
23,control,8,6,Samsung Internet,Sunday,known brand,0
24,exposed,3,6,Samsung Internet,Monday,known brand,1
25,exposed,1,6,Samsung Internet,Friday,known brand,0
26,exposed,10,6,Samsung Internet,Friday,known brand,0
27,exposed,6,6,Samsung Internet,Thursday,known brand,1
28,exposed,20,6,Samsung Internet,Wednesday,known brand,0
29,exposed,7,6,Samsung Internet,Monday,known brand,0
30,exposed,16,6,Samsung Internet,Saturday,known brand,0
31,exposed,10,6,Samsung Internet,Friday,known brand,1
32,exposed,17,6,Samsung Internet,Tuesday,known brand,0
33,control,15,6,Samsung Internet,Friday,known brand,1
34,control,5,6,Samsung Internet,Friday,known brand,0
35,control,8,6,Samsung Internet,Friday,known brand,1
36,control,1,6,Samsung Internet,Sunday,known brand,0
37,exposed,6,6,Samsung Internet,Friday,known brand,1
38,control,16,6,Samsung Internet,Friday,known brand,1
39,exposed,19,6,Samsung Internet,Tuesday,known brand,1
